collection,path,scene_spot_id,representative_step,representative_scene,is_unique_spot
IHTest_202009_DistStA,path1,spot_001,path1_step2,IHTest_202009_DistStA / path1 / path1_step2,False
IHTest_202009_DistStA,path7,spot_003,path7_step5,IHTest_202009_DistStA / path7 / path7_step5,False
IHTest_202009_DistStA,path8,spot_005,path8_step1,IHTest_202009_DistStA / path8 / path8_step1,True
IHTest_202104_DistStA,path1,spot_001,path1_step0,IHTest_202104_DistStA / path1 / path1_step0,False
IHTest_202104_DistStA,path10,spot_001,path10_step1,IHTest_202104_DistStA / path10 / path10_step1,False
IHTest_202104_DistStA,path5,spot_001,path5_step1,IHTest_202104_DistStA / path5 / path5_step1,False
IHTest_202108_DistStA,path12,spot_012,path12_step2,IHTest_202108_DistStA / path12 / path12_step2,True
IHTest_202108_DistStA,path7,spot_014,path7_step22,IHTest_202108_DistStA / path7 / path7_step22,True
IHTest_202108_DistStA,path7,spot_014,path7_step9,IHTest_202108_DistStA / path7 / path7_step9,False
IHTest_202204_DistStA-20221110,path13,spot_016,path13_step4,IHTest_202204_DistStA-20221110 / path13 / path13_step4,True
IHTest_202204_DistStA-20221110,path15,spot_018,path15_step1,IHTest_202204_DistStA-20221110 / path15 / path15_step1,True
IHTest_202204_DistStA-20221110,path19,spot_020,path19_step1,IHTest_202204_DistStA-20221110 / path19 / path19_step1,True
IHTest_202204_DistStA-20221110,path20,spot_004,path20_step1,IHTest_202204_DistStA-20221110 / path20 / path20_step1,False
IHTest_202204_DistStA-20221110,path28,spot_023,path28_step1,IHTest_202204_DistStA-20221110 / path28 / path28_step1,True
IHTest_202204_DistStA-20221110,path30,spot_020,path30_step1,IHTest_202204_DistStA-20221110 / path30 / path30_step1,True
IHTest_202204_DistStA-20221110,path31,spot_027,path31_step4,IHTest_202204_DistStA-20221110 / path31 / path31_step4,True
IHTest_202204_DistStA-20221110,path33,spot_029,path33_step3,IHTest_202204_DistStA-20221110 / path33 / path33_step3,True
IHTest_202204_DistStA-20221110,path35,spot_020,path35_step1,IHTest_202204_DistStA-20221110 / path35 / path35_step1,True
IHTest_202204_DistStA-20221110,path36,spot_033,path36_step2,IHTest_202204_DistStA-20221110 / path36 / path36_step2,True
IHTest_202204_DistStA-20221110,path38,spot_035,path38_step5,IHTest_202204_DistStA-20221110 / path38 / path38_step5,True
IHTest_202204_DistStA-20221110,path5,spot_002,path5_step21,IHTest_202204_DistStA-20221110 / path5 / path5_step21,False
IHTest_202204_DistStA-20221110,path7,spot_038,path7_step1,IHTest_202204_DistStA-20221110 / path7 / path7_step1,True
